assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename	strain	contig_count	N50	largest_contig	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	aerobactin	salmochelin	hypermucoidy	wzi	KL	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	AGly	Col	Fcyn	Flq	Gly	MLS	Phe	Rif	Sul	Tet	Tmt	Bla	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR
GCF_002181225.1	PRJNA224116	SAMN06218085	NDDK00000000.1	na	573	573	Klebsiella pneumoniae	strain=44809		latest	Contig	Major	Full	2017/06/08	ASM218122v1	JCVI	GCA_002181225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/225/GCF_002181225.1_ASM218122v1	./refseq/bacteria/GCF_002181225.1/GCF_002181225.1_ASM218122v1_genomic.fna.gz	GCF_002181225.1_ASM218122v1_genomic.fna	87	212831	574150	ST1502	0	2	2	2	-	0	-	0	-	-	-	wzi191	KL?	ST1502	4	1	1	1	20	104	218	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	KPC-3	-	-	SHV-1*?	-
GCF_002181245.1	PRJNA224116	SAMN06218083	NDDM00000000.1	na	573	573	Klebsiella pneumoniae	strain=44811		latest	Contig	Major	Full	2017/06/08	ASM218124v1	JCVI	GCA_002181245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/245/GCF_002181245.1_ASM218124v1	./refseq/bacteria/GCF_002181245.1/GCF_002181245.1_ASM218124v1_genomic.fna.gz	GCF_002181245.1_ASM218124v1_genomic.fna	181	129666	303775	ST258	3	2	8	16	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	10	2	2	2	4	2	8	2*	2	2	2	2	2	2	AadA1-pm*?;Aac6-Ib;AadA2*;Aph3-Ia*;StrB;StrA*	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulII	-	DfrA14;DfrA12	OXA-9;AmpH*;TEM-150*	KPC-3	-	-	SHV-11	-
GCF_002181265.1	PRJNA224116	SAMN06218084	NDDL00000000.1	na	573	573	Klebsiella pneumoniae	strain=44810		latest	Contig	Major	Full	2017/06/08	ASM218126v1	JCVI	GCA_002181265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/265/GCF_002181265.1_ASM218126v1	./refseq/bacteria/GCF_002181265.1/GCF_002181265.1_ASM218126v1_genomic.fna.gz	GCF_002181265.1_ASM218126v1_genomic.fna	104	138896	445062	ST258	0	2	6	9	-	0	-	0	-	-	-	wzi83	KL23	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;AadA2;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	-	CmlA1*	-	-	-	-	AmpH*;OXA-9*	KPC-2	-	-	SHV-11	TEM-122*
GCF_002181275.1	PRJNA224116	SAMN06218081	NDDO00000000.1	na	573	573	Klebsiella pneumoniae	strain=44813		latest	Contig	Major	Full	2017/06/08	ASM218127v1	JCVI	GCA_002181275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/275/GCF_002181275.1_ASM218127v1	./refseq/bacteria/GCF_002181275.1/GCF_002181275.1_ASM218127v1_genomic.fna.gz	GCF_002181275.1_ASM218127v1_genomic.fna	174	129666	303528	ST258	3	2	8	16	ybt 17; ICEKp10	251	clb 3	62-2LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	10*	2	2	2	4	2	8	2*	2	2	2	2	2	2	AadA1-pm*?;Aac6-Ib;AadA2;Aph3-Ia*;StrB;StrA*	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulII	-	DfrA14;DfrA12	OXA-9;AmpH*;TEM-150*	KPC-3	-	-	SHV-11	-
GCF_002181305.1	PRJNA224116	SAMN06218080	NDDP00000000.1	na	573	573	Klebsiella pneumoniae	strain=44814		latest	Contig	Major	Full	2017/06/08	ASM218130v1	JCVI	GCA_002181305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/305/GCF_002181305.1_ASM218130v1	./refseq/bacteria/GCF_002181305.1/GCF_002181305.1_ASM218130v1_genomic.fna.gz	GCF_002181305.1_ASM218130v1_genomic.fna	121	137513	654187	ST258	0	2	8	11	-	0	-	0	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aph3-Ia*;Aac6-Ib;AadA2*	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI	-	DfrA12	OXA-9*;AmpH*	KPC-3	-	-	SHV-11	-
GCF_002181325.1	PRJNA224116	SAMN06218079	NDDQ00000000.1	na	573	573	Klebsiella pneumoniae	strain=44815		latest	Contig	Major	Full	2017/06/08	ASM218132v1	JCVI	GCA_002181325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/325/GCF_002181325.1_ASM218132v1	./refseq/bacteria/GCF_002181325.1/GCF_002181325.1_ASM218132v1_genomic.fna.gz	GCF_002181325.1_ASM218132v1_genomic.fna	174	135222	331376	ST258	3	2	8	16	ybt 17; ICEKp10	251	clb 3	62-2LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	10*	2	2	2	4	2	8	2*	2	2	2	2	2	2	AadA1-pm*?;Aac6-Ib;Aph3-Ia*;StrB;StrA*;AadA2*	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulII;SulI	-	DfrA14;DfrA12	OXA-9;AmpH*;TEM-150*	KPC-3	-	-	SHV-11	-
GCF_002181345.1	PRJNA224116	SAMN06218034	NDDR00000000.1	na	573	573	Klebsiella pneumoniae	strain=44816		latest	Contig	Major	Full	2017/06/08	ASM218134v1	JCVI	GCA_002181345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/345/GCF_002181345.1_ASM218134v1	./refseq/bacteria/GCF_002181345.1/GCF_002181345.1_ASM218134v1_genomic.fna.gz	GCF_002181345.1_ASM218134v1_genomic.fna	104	167921	370525	ST258	3	2	6	11	ybt 17; ICEKp10	247	clb 3	62	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	198	26	2	11	4	96	5	10	2	2	2	4	2	8	2	2	2	2	2	2	2	Aac6-33;AadB;AadA2*;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	-	-	-	SulII;SulI	-	DfrA12	AmpH*;TEM-1D	KPC-2	-	-	SHV-11	-
GCF_002181355.1	PRJNA224116	SAMN06218033	NDDS00000000.1	na	573	573	Klebsiella pneumoniae	strain=44817		latest	Contig	Major	Full	2017/06/08	ASM218135v1	JCVI	GCA_002181355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/355/GCF_002181355.1_ASM218135v1	./refseq/bacteria/GCF_002181355.1/GCF_002181355.1_ASM218135v1_genomic.fna.gz	GCF_002181355.1_ASM218135v1_genomic.fna	124	119099	508620	ST258	3	2	5	10	ybt 17; ICEKp10	289-1LV	clb 3	17-2LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	5	4	11	28*	26	2	11	4	2	2	10*	2	2	2	2	2	8	2	2	2	2*	2	2	2	StrB;StrA*;AadA1-pm*?;Aac6-Ib*	-	-	ParC-80I;GyrA-83I;GyrA-87Y	-	-	-	-	SulII	-	DfrA14	AmpH*;TEM-150*;OXA-9	KPC-3	-	-	-	-
GCF_002181385.1	PRJNA224116	SAMN06218032	NDDT00000000.1	na	573	573	Klebsiella pneumoniae	strain=44818		latest	Contig	Major	Full	2017/06/08	ASM218138v1	JCVI	GCA_002181385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/385/GCF_002181385.1_ASM218138v1	./refseq/bacteria/GCF_002181385.1/GCF_002181385.1_ASM218138v1_genomic.fna.gz	GCF_002181385.1_ASM218138v1_genomic.fna	62	237839	614551	ST35	0	2	2	2	-	0	-	0	-	-	-	wzi37	KL22/KL37	ST35	2	1	2	1	10	1	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac6-Ib	-	-	-	-	-	-	-	-	-	-	TEM-105*;AmpH*;SHV-33	KPC-2	-	-	-	-
GCF_002181405.1	PRJNA224116	SAMN06218031	NDDU00000000.1	na	573	573	Klebsiella pneumoniae	strain=44819		latest	Contig	Major	Full	2017/06/08	ASM218140v1	JCVI	GCA_002181405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/405/GCF_002181405.1_ASM218140v1	./refseq/bacteria/GCF_002181405.1/GCF_002181405.1_ASM218140v1_genomic.fna.gz	GCF_002181405.1_ASM218140v1_genomic.fna	132	137517	455620	ST258	0	2	5	8	-	0	-	0	-	-	-	wzi50	KL15 (KL17,KL51,KL52)	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac6-Ib;Aph4-Ia;Aac3-Iva?	-	-	ParC-80I;GyrA-83I	-	-	-	-	-	-	-	OXA-9*;AmpH*	KPC-2	-	-	SHV-11	TEM-122*
GCF_002181415.1	PRJNA224116	SAMN06218030	NDDV00000000.1	na	573	573	Klebsiella pneumoniae	strain=44820		latest	Contig	Major	Full	2017/06/08	ASM218141v1	JCVI	GCA_002181415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/415/GCF_002181415.1_ASM218141v1	./refseq/bacteria/GCF_002181415.1/GCF_002181415.1_ASM218141v1_genomic.fna.gz	GCF_002181415.1_ASM218141v1_genomic.fna	120	145906	303785	ST258	3	2	6	12	ybt 17; ICEKp10	243-1LV	clb 3	62	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	155*	26	2	11	4	2	5	10	2	2	2	4	2	8	2	2	2	2	2	2	2	StrB;StrA*;AadA2;AadA1-pm*?;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	-	-	-	SulII;SulI	-	DfrA14	AmpH*;TEM-150*;OXA-9	KPC-3	-	-	SHV-11	-
GCF_002181445.1	PRJNA224116	SAMN06218126	NDDZ00000000.1	na	573	573	Klebsiella pneumoniae	strain=44824		latest	Contig	Major	Full	2017/06/08	ASM218144v1	JCVI	GCA_002181445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/445/GCF_002181445.1_ASM218144v1	./refseq/bacteria/GCF_002181445.1/GCF_002181445.1_ASM218144v1_genomic.fna.gz	GCF_002181445.1_ASM218144v1_genomic.fna	82	172746	395685	ST392	0	2	7	11	-	0	-	0	-	-	-	wzi187	KL27	ST392	3	4	6	1	7	4	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac6-Ib?;Aac3-IIa*	-	-	QnrB1?;ParC-80I;GyrA-83I	-	-	CatB4?	-	-	TetA;TetR	DfrA14	SHV-67*;AmpH*;OXA-1	KPC-2	CTX-M-15	-	-	-
GCF_002181455.1	PRJNA224116	SAMN06218061	NDEA00000000.1	na	573	573	Klebsiella pneumoniae	strain=41964		latest	Contig	Major	Full	2017/06/08	ASM218145v1	JCVI	GCA_002181455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/455/GCF_002181455.1_ASM218145v1	./refseq/bacteria/GCF_002181455.1/GCF_002181455.1_ASM218145v1_genomic.fna.gz	GCF_002181455.1_ASM218145v1_genomic.fna	104	146315	332545	ST258	0	2	8	14	-	0	-	0	-	-	-	wzi83	KL23	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aph4-Ia;Aac3-Iva?;Aac6-Ib;AadA1-pm*?;AadA2	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*;CmlA1*	-	SulI	-	DfrA12	AmpH*	KPC-2	-	-	SHV-11	-
GCF_002181485.1	PRJNA224116	SAMN06218060	NDEB00000000.1	na	573	573	Klebsiella pneumoniae	strain=41965		latest	Contig	Major	Full	2017/06/08	ASM218148v1	JCVI	GCA_002181485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/485/GCF_002181485.1_ASM218148v1	./refseq/bacteria/GCF_002181485.1/GCF_002181485.1_ASM218148v1_genomic.fna.gz	GCF_002181485.1_ASM218148v1_genomic.fna	88	181679	442037	ST258	0	2	4	5	-	0	-	0	-	-	-	wzi29	KL106	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80I;GyrA-83I	-	-	-	-	-	-	-	AmpH*;OXA-9*	KPC-3	-	-	SHV-11	TEM-122*
GCF_002181505.1	PRJNA224116	SAMN06218059	NDEC00000000.1	na	573	573	Klebsiella pneumoniae	strain=41966		latest	Contig	Major	Full	2017/06/08	ASM218150v1	JCVI	GCA_002181505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/505/GCF_002181505.1_ASM218150v1	./refseq/bacteria/GCF_002181505.1/GCF_002181505.1_ASM218150v1_genomic.fna.gz	GCF_002181505.1_ASM218150v1_genomic.fna	132	130720	712895	ST258	0	2	9	12	-	0	-	0	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aph3-Ia*;Aac6-Ib;AadA2	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI	-	DfrA12	AmpH*;OXA-9*	KPC-3	-	-	SHV-11	TEM-122*?
GCF_002181525.1	PRJNA224116	SAMN06218065	NDBH00000000.1	na	573	573	Klebsiella pneumoniae	strain=41950		latest	Contig	Major	Full	2017/06/08	ASM218152v1	JCVI	GCA_002181525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/525/GCF_002181525.1_ASM218152v1	./refseq/bacteria/GCF_002181525.1/GCF_002181525.1_ASM218152v1_genomic.fna.gz	GCF_002181525.1_ASM218152v1_genomic.fna	146	130289	654396	ST258	0	2	9	12	-	0	-	0	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aph3-Ia*;Aac6-Ib;AadA2	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI	-	DfrA12	OXA-9*;AmpH*	KPC-3	-	-	SHV-11	TEM-122*
GCF_002181545.1	PRJNA224116	SAMN06218063	NDBI00000000.1	na	573	573	Klebsiella pneumoniae	strain=41959		latest	Contig	Major	Full	2017/06/08	ASM218154v1	JCVI	GCA_002181545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/545/GCF_002181545.1_ASM218154v1	./refseq/bacteria/GCF_002181545.1/GCF_002181545.1_ASM218154v1_genomic.fna.gz	GCF_002181545.1_ASM218154v1_genomic.fna	121	137353	370503	ST258	3	2	6	9	ybt 17; ICEKp10	289	clb 3	17-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	5	4	11	28	26	2	11	4	2	2	10*	2	2	2	2	2	8	2	2	2	2	2	2	2	StrB;StrA*	-	-	Qnr-S1;ParC-80I;GyrA-83I	-	-	-	-	SulII	-	DfrA14	AmpH*	KPC-3	-	-	SHV-11	-
GCF_002181555.1	PRJNA224116	SAMN06218062	NDBJ00000000.1	na	573	573	Klebsiella pneumoniae	strain=41963		latest	Contig	Major	Full	2017/06/08	ASM218155v1	JCVI	GCA_002181555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/555/GCF_002181555.1_ASM218155v1	./refseq/bacteria/GCF_002181555.1/GCF_002181555.1_ASM218155v1_genomic.fna.gz	GCF_002181555.1_ASM218155v1_genomic.fna	92	143353	438686	ST258	0	2	6	9	-	0	-	0	-	-	-	wzi83	KL23	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac6-Ib;AadA1-pm*?;AadA2	-	-	ParC-80I;GyrA-83I	-	-	CmlA1*	-	SulI	-	-	AmpH*	KPC-2	SHV-12	-	-	-
GCF_002181585.1	PRJNA224116	SAMN06218046	NDBR00000000.1	na	573	573	Klebsiella pneumoniae	strain=39883		latest	Contig	Major	Full	2017/06/08	ASM218158v1	JCVI	GCA_002181585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/585/GCF_002181585.1_ASM218158v1	./refseq/bacteria/GCF_002181585.1/GCF_002181585.1_ASM218158v1_genomic.fna.gz	GCF_002181585.1_ASM218158v1_genomic.fna	188	132808	459248	ST258	3	2	8	12	ybt 17; ICEKp10	293	clb 3	17-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	5	4	11	285	26	2	11	4	2	2	10*	2	2	2	2	2	8	2	2	2	2	2	2	2	AadA1-pm*?;StrB;StrA*	-	-	ParC-80I;GyrA-83I	-	MphA	-	-	SulII*	TetA;TetR	DfrA14	OXA-9;AmpH*;TEM-105*	KPC-3	-	-	SHV-11*	-
GCF_002181595.1	PRJNA224116	SAMN06218044	NDBS00000000.1	na	573	573	Klebsiella pneumoniae	strain=39885		latest	Contig	Major	Full	2017/06/08	ASM218159v1	JCVI	GCA_002181595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/595/GCF_002181595.1_ASM218159v1	./refseq/bacteria/GCF_002181595.1/GCF_002181595.1_ASM218159v1_genomic.fna.gz	GCF_002181595.1_ASM218159v1_genomic.fna	159	130289	459256	ST258	3	2	7	10	ybt 17; ICEKp10	293	clb 3	17-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	5	4	11	285	26	2	11	4	2	2	10*	2	2	2	2	2	8	2	2	2	2	2	2	2	StrB;StrA*;AadA1-pm*?	-	-	ParC-80I;GyrA-83I	-	MphA*?	-	-	SulII*	-	DfrA14	AmpH*;TEM-105*;OXA-9	KPC-3	SHV-12	-	-	-
GCF_002181635.1	PRJNA224116	SAMN06218037	NDBZ00000000.1	na	573	573	Klebsiella pneumoniae	strain=39904		latest	Contig	Major	Full	2017/06/08	ASM218163v1	JCVI	GCA_002181635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/635/GCF_002181635.1_ASM218163v1	./refseq/bacteria/GCF_002181635.1/GCF_002181635.1_ASM218163v1_genomic.fna.gz	GCF_002181635.1_ASM218163v1_genomic.fna	107	151385	330670	ST16-3LV	0	2	2	2	-	0	-	0	-	-	-	0	-	ST16-3LV	2	2	2*	1	16	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-108*;AmpH*;OXA-9*	KPC-2	-	-	-	TEM-122*
GCF_002181665.1	PRJNA224116	SAMN06218035	NDCB00000000.1	na	573	573	Klebsiella pneumoniae	strain=39909		latest	Contig	Major	Full	2017/06/08	ASM218166v1	JCVI	GCA_002181665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/665/GCF_002181665.1_ASM218166v1	./refseq/bacteria/GCF_002181665.1/GCF_002181665.1_ASM218166v1_genomic.fna.gz	GCF_002181665.1_ASM218166v1_genomic.fna	141	157591	395807	ST258	0	2	7	15	-	0	-	0	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aph3-Ia*;StrB;StrA*;AadA2*;AadA1-pm*?;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	-	-	SulII;SulI	-	DfrA14;DfrA12*	AmpH*;TEM-150*;OXA-9	KPC-3	-	-	SHV-11	-
GCF_002181675.1	PRJNA224116	SAMN06218073	NDCG00000000.1	na	573	573	Klebsiella pneumoniae	strain=40882		latest	Contig	Major	Full	2017/06/08	ASM218167v1	JCVI	GCA_002181675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/675/GCF_002181675.1_ASM218167v1	./refseq/bacteria/GCF_002181675.1/GCF_002181675.1_ASM218167v1_genomic.fna.gz	GCF_002181675.1_ASM218167v1_genomic.fna	175	127061	331111	ST258	3	2	8	16	ybt 17; ICEKp10	251	clb 3	62-2LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	10*	2	2	2	4	2	8	2*	2	2	2	2	2	2	AadA1-pm*?;Aac6-Ib;AadA2;Aph3-Ia*;StrB;StrA*	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulII	-	DfrA14;DfrA12	OXA-9;AmpH*;TEM-150*	KPC-3	-	-	SHV-11	-
GCF_002181705.1	PRJNA224116	SAMN06218124	NDCJ00000000.1	na	573	573	Klebsiella pneumoniae	strain=44825		latest	Contig	Major	Full	2017/06/08	ASM218170v1	JCVI	GCA_002181705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/705/GCF_002181705.1_ASM218170v1	./refseq/bacteria/GCF_002181705.1/GCF_002181705.1_ASM218170v1_genomic.fna.gz	GCF_002181705.1_ASM218170v1_genomic.fna	121	204536	498217	ST258	0	2	9	11	-	0	-	0	-	-	-	wzi29	KL106	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI	-	DfrA12	AmpH*;OXA-9*	KPC-2	-	-	SHV-11	TEM-122*
GCF_002181715.1	PRJNA224116	SAMN06218123	NDCK00000000.1	na	573	573	Klebsiella pneumoniae	strain=44826		latest	Contig	Major	Full	2017/06/08	ASM218171v1	JCVI	GCA_002181715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/715/GCF_002181715.1_ASM218171v1	./refseq/bacteria/GCF_002181715.1/GCF_002181715.1_ASM218171v1_genomic.fna.gz	GCF_002181715.1_ASM218171v1_genomic.fna	98	146314	463039	ST258	0	2	9	11	-	0	-	0	-	-	-	wzi29	KL106	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI	-	DfrA12	AmpH*;OXA-9*	KPC-2	-	-	SHV-11	TEM-122*
GCF_002181745.1	PRJNA224116	SAMN06218122	NDCL00000000.1	na	573	573	Klebsiella pneumoniae	strain=44827		latest	Contig	Major	Full	2017/06/08	ASM218174v1	JCVI	GCA_002181745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/745/GCF_002181745.1_ASM218174v1	./refseq/bacteria/GCF_002181745.1/GCF_002181745.1_ASM218174v1_genomic.fna.gz	GCF_002181745.1_ASM218174v1_genomic.fna	91	157591	499250	ST258	0	2	5	6	-	0	-	0	-	-	-	wzi29	KL106	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	-	-	-	-	-	-	AmpH*;OXA-9*	KPC-2	-	-	SHV-11	TEM-122*
GCF_002181755.1	PRJNA224116	SAMN06218121	NDCM00000000.1	na	573	573	Klebsiella pneumoniae	strain=44828		latest	Contig	Major	Full	2017/06/08	ASM218175v1	JCVI	GCA_002181755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/755/GCF_002181755.1_ASM218175v1	./refseq/bacteria/GCF_002181755.1/GCF_002181755.1_ASM218175v1_genomic.fna.gz	GCF_002181755.1_ASM218175v1_genomic.fna	116	158399	695966	ST258	0	2	8	18	-	0	-	0	-	-	-	wzi83	KL23	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2;Aac6-Ib;AadA1-pm*?;AadB;Aph3-Ia*	-	-	ParC-80I;GyrA-83I	-	MsrE;MphE*;MphA	CatA1*;CmlA1*	-	SulI?	-	DfrA19*;DfrA12	AmpH*;FOX-5	KPC-2;CARB-3*	-	-	SHV-11	-
GCF_002181785.1	PRJNA224116	SAMN06218117	NDCQ00000000.1	na	573	573	Klebsiella pneumoniae	strain=45704		latest	Contig	Major	Full	2017/06/08	ASM218178v1	JCVI	GCA_002181785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/785/GCF_002181785.1_ASM218178v1	./refseq/bacteria/GCF_002181785.1/GCF_002181785.1_ASM218178v1_genomic.fna.gz	GCF_002181785.1_ASM218178v1_genomic.fna	112	157591	326710	ST258	0	2	9	11	-	0	-	0	-	-	-	wzi29	KL106	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac6-Ib;AadA2*	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI	-	DfrA12	AmpH*;OXA-9*	KPC-2	-	-	SHV-11	TEM-122*?
GCF_002181795.1	PRJNA224116	SAMN06218114	NDCT00000000.1	na	573	573	Klebsiella pneumoniae	strain=45707		latest	Contig	Major	Full	2017/06/08	ASM218179v1	JCVI	GCA_002181795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/181/795/GCF_002181795.1_ASM218179v1	./refseq/bacteria/GCF_002181795.1/GCF_002181795.1_ASM218179v1_genomic.fna.gz	GCF_002181795.1_ASM218179v1_genomic.fna	101	164872	326552	ST258	0	2	9	11	-	0	-	0	-	-	-	wzi29	KL106	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI	-	DfrA12	AmpH*;OXA-9*	KPC-2	-	-	SHV-11	TEM-122*
