strain	contig_count	N50	largest_contig	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	aerobactin	salmochelin	hypermucoidy	wzi	KL	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	AGly	Col	Fcyn	Flq	Gly	MLS	Phe	Rif	Sul	Tet	Tmt	Bla	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR
ERR486394	126	337507	797000	ST14	0	1	3	4	-	0	-	0	-	-	-	wzi2	KL2 (KL30)	ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA	-	-	-	-	-	-	-	SulI?	-	-	AmpH*	-	SHV-106*	-	-	-
ERR486396	122	262969	395149	ST108-2LV	0	1	1	1	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST108-2LV	2	1	2	2	9	4	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	SHV-40*	-	-	-
ERR486397	131	225248	504133	ST16	0	1	4	6	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	CatB4?	-	-	TetA;TetR	-	SHV-145*;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486398	126	298268	712972	ST1658	0	0	0	0	-	0	-	0	-	-	-	wzi227	KL60	ST1658	2	1	11	1	9	1	112	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-145*;AmpH*	-	-	-	-	-
ERR486399	115	377288	975291	ST336	1	1	6	8	ybt 15; ICEKp11	230	-	0	-	-	-	wzi141	KL25	ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aph3-Ia*	-	-	QnrB1?	-	-	CatB4?	-	SulII*	-	DfrA14	AmpH*;SHV-94*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486400	164	282238	466944	ST15	0	1	6	10	-	0	-	0	-	-	-	wzi93	KL112	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	ParC-80A;ParC-84N	-	-	CatB4?	-	SulII	-	DfrA14	AmpH*;TEM-105*;OXA-1	-	SHV-106*;CTX-M-15	-	-	-
ERR486401	109	285284	763458	ST35-1LV	1	1	5	7	ybt 9; ICEKp3	183-1LV	-	0	-	-	-	wzi16	KL16 (KL143)	ST35-1LV	2	1	2	1*	10	1	19	5	11	6	5	1	25*	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	GyrA-83R;GyrA-87G	-	-	CatB4?	-	-	TetA;TetR	-	SHV-33;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486402	223	368071	961632	ST831	0	1	7	10	-	0	-	0	-	-	-	wzi18	KL18	ST831	2	1	1	1	10	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	Qnr-A1;ParC-80A;ParC-84N	-	-	CmlA5*?	-	SulI?	-	DfrA5	AmpH*;OXA-9	-	SHV-12?	-	-	TEM-122*
ERR486403	154	377287	1534186	ST336	1	1	6	10	ybt 15; ICEKp11	230	-	0	-	-	-	wzi141	KL25	ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aph3-Ia*;StrB?	-	-	QnrB1?	-	-	CatB4?	-	SulI;SulII	-	DfrA5;DfrA14?	AmpH*;OXA-9;OXA-1;TEM-150*	-	CTX-M-15	-	-	-
ERR486404	222	330339	628582	ST111	1	1	4	6	ybt 14; ICEKp5	147-2LV	-	0	-	-	-	wzi63	KL63	ST111	2	1	5	1	17	4	42	4	4	5	4	1	69	191*	2	4	4	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*	-	-	-	-	-	-	-	SulI?;SulII*	-	dhfr7	AmpH*;TEM-105*	-	SHV-40*	-	-	-
ERR486405	92	389515	1561007	ST336	1	1	4	4	ybt 15; ICEKp11	230	-	0	-	-	-	wzi141	KL25	ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	QnrB1?	-	-	CatB4?	-	-	-	DfrA14	SHV-94*;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486406	112	266288	609728	ST144	0	0	6	8	-	0	-	0	-	-	-	0	-	ST144	17	19	28	20	34	18	52	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2	-	-	ParC-80A;ParC-84N	-	-	CmlA5*	-	SulI;SulII	TetD	DfrA15b*	OKP-A-5;AmpH*	-	-	-	-	-
ERR486407	223	198154	462338	ST48	3	1	5	8	ybt 10; ICEKp4	81	clb 3	13-5LV	-	-	-	wzi167	KL124	ST48	2	5	2	2	7	1	10	3	12	4	19	3	42	39	3	10	9	24	2	10*	2	2	2	2	2	3	5	2	2	2*	2*	3	2	StrB;StrA*;AadA1-pm*?	-	-	-	-	-	-	-	SulII	TetA;TetR	DfrA15b*	AmpH*	-	SHV-13*?	-	-	-
ERR486408	305	188772	352896	ST54	0	2	8	11	-	0	-	0	-	-	-	wzi14	KL14	ST54	2	1	1	13	16	15	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac6-IIc;StrB;StrA	-	-	QnrB2	-	-	CatA2*	-	SulII;SulI?	TetD	DfrA19*	AmpH*;TEM-105*;OXA-2*	VIM-2*	SHV-12?	-	-	-
ERR486409	323	188773	352895	ST54	0	1	8	14	-	0	-	0	-	-	-	wzi14	KL14	ST54	2	1	1	13	16	15	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac6-IIc;Aph3''Ia*?;StrB;StrA;AadA1-pm*?;Aac6-Ib	-	-	QnrB2	-	-	CatA2*	-	SulII;SulI?	TetD	DfrA19*	AmpH*;OXA-9*	-	SHV-12?	-	-	TEM-122*
ERR486410	335	212687	539479	ST35	0	0	1	2	-	0	-	0	-	-	-	wzi37	KL22/KL37	ST35	2	1	2	1	10	1	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	-	-	-	-	-	-	-	-	AmpH*;FOX-8*;TEM-150*;OXA-9	-	-	-	-	-
ERR486411	207	342354	1399169	ST70	1	1	8	11	ybt 8; ICEKp9	195-1LV	-	0	-	-	-	wzi123	KL136	ST70	2	6	17	1	20	10	25	5	11	6	5	1	99*	138	9	29	5	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	QnrB1?	-	-	CatB4?	-	SulII	TetA;TetR	DfrA14	AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	SHV-32	-
ERR486412	173	376273	776855	ST70	0	1	5	7	-	0	-	0	-	-	-	wzi162	KL122	ST70	2	6	17	1	20	10	25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac3-I*?	-	-	-	-	-	-	-	SulI	TetA;TetR	DfrA1*	AmpH*	-	SHV-5	-	-	-
ERR486413	190	256383	628751	ST101	1	1	7	10	ybt 9; ICEKp3	183	-	0	-	-	-	wzi137	KL17	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*;Aac3-IId*	-	-	ParC-80I	-	-	CatB4?	-	SulII	TetD	DfrA14	AmpH*;TEM-105*;TEM-105*;OXA-1	-	SHV-106*;CTX-M-15	-	-	-
ERR486414	118	214521	567002	ST976	0	0	0	0	-	0	-	0	-	-	-	wzi415	KL54	ST976	2	3	108	26	3	4	64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-27*	-	-	-	-	-
ERR486415	175	285543	704770	ST465	0	0	2	3	-	0	-	0	-	-	-	wzi115	KL54	ST465	2	3	2	2	9	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-83	-
ERR486416	159	207893	872571	ST340	0	1	8	10	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2;Aac3-IIa*	-	-	ParC-80I	-	MphA	CatB4?;CatA1*	-	SulI	-	DfrA30*	AmpH*;TEM-105*;OXA-1	-	CTX-M-15*	-	SHV-11	-
ERR486417	111	376244	1280528	ST29	0	0	1	1	-	0	-	0	-	-	-	wzi115	KL54	ST29	2	3	2	2	6	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-83	-
ERR486418	157	284424	429563	ST15	0	2	4	5	-	0	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?	-	-	-	-	-	-	-	-	-	DfrA1*	AmpH*;OXA-1	VIM-4	CTX-M-15;SHV-106*	-	-	-
ERR486419	202	179920	590707	ST29	1	1	7	13	ybt 15; ICEKp11	230	-	0	-	-	-	wzi85	KL30	ST29	2	3	2	2	6	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;Aac6-IIc;Aph3''Ia*?	-	-	QnrB4;ParC-80A;ParC-84N	-	-	CatA2*	-	SulI?	TetD	DfrA19*	AmpH*;TEM-105*;DHA-1	-	CTX-M-15;SHV-12?	-	-	-
ERR486420	185	222755	370627	ST15	0	1	5	7	-	0	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	QnrB1	-	-	CatA1*;CatB4?	-	-	-	DfrA14	AmpH*;OXA-1	-	SHV-106*;CTX-M-15	-	-	-
ERR486421	125	299356	522458	ST231	0	1	5	10	-	0	-	0	-	-	-	wzi104	KL51	ST231	2	6	1	3	26	1	77	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*;Aac3-IId*;AadA1-pm*?;Aac6-Ib	-	-	ParC-80A;ParC-84N	-	-	-	-	SulII	-	DfrA14	AmpH*	-	CTX-M-15	-	-	-
ERR486422	127	341819	771591	ST323	0	1	6	7	-	0	-	0	-	-	-	wzi262	KL21	ST323	2	1	1	1	9	1	93	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	QnrB1?	-	-	CatB4?	-	-	TetA;TetR	DfrA14	AmpH*;OXA-1	-	SHV-99*	-	-	-
ERR486423	138	210229	846588	ST353	1	1	2	3	ybt 10; ICEKp4	84-1LV	-	0	-	-	-	wzi346	KL110	ST353	3	9	47	1	13	1	16	3	12	4	3	14	50	216	3	15	8	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	AmpH*	-	SHV-40*	-	-	-
ERR486424	137	257487	423788	ST17	0	0	5	6	-	0	-	0	-	-	-	wzi141	KL25	ST17	2	1	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	SulI	TetD	DfrA21	AmpH*	-	-	-	SHV-1*?	-
ERR486426	146	181933	435754	ST48	1	1	8	13	ybt 5; ICEKp6	11	-	0	-	-	-	wzi62	KL62	ST48	2	5	2	2	7	1	10	10	8	10	7	18	4	89	7	8	5	37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;Aac3-IIa*	-	-	GyrA-83H;GyrA-87H	-	MphA	CatA1*;CatB4?	-	SulI;SulII*	-	DfrA12	AmpH*;OXA-1	-	CTX-M-15	-	SHV-1?	-
ERR486427	138	330307	803779	ST17	1	0	0	0	ybt 15; ICEKp11	231	-	0	-	-	-	wzi141	KL25	ST17	2	1	1	1	4	4	4	6	15	22	4	1	37	34	14	1	33	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-94*	-	-	-	-	-
ERR486428	262	142163	470639	ST1380	0	0	1	1	-	0	-	0	-	-	-	wzi186	KL2	ST1380	2	3	1	1	9	10	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	-	SHV-26
ERR486429	128	245410	507694	ST215	0	1	7	12	-	0	-	0	-	-	-	wzi247	KL16	ST215	2	1	38	37	10	4	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	QnrB1?;ParC-80A;ParC-84N	-	-	CatB4?	-	SulII	TetA;TetR	DfrA14	SHV-145*;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486430	251	180120	490794	ST188	0	0	0	0	-	0	-	0	-	-	-	wzi114	"KL30 (KL2, KL8, KL111)"	ST188	3	1	1	3	4	28	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-37	-	-	-	-	-
ERR486431	91	389514	1560720	ST336	1	1	4	4	ybt 15; ICEKp11	230	-	0	-	-	-	wzi141	KL25	ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	QnrB1?	-	-	CatB4?	-	-	-	DfrA14	SHV-94*;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486441	185	213881	614887	ST460	0	1	1	1	-	0	-	0	-	-	-	wzi374	KL140	ST460	2	1	20	1	1	1	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	SHV-40*	-	-	-
ERR486455	159	255136	399904	ST15	0	0	4	6	-	0	-	0	-	-	-	wzi274	KL30	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;AadA1-pm*?	-	-	-	-	-	-	-	SulI	TetD	DfrA12	AmpH*;SHV-28*	-	-	-	-	-
ERR486456	95	319815	968360	ST252	0	0	1	1	-	0	-	0	-	-	-	wzi104	KL51	ST252	2	5	1	1	9	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-1?	-
ERR486457	169	314729	563812	ST405	1	1	7	10	ybt unknown	0	-	0	-	-	-	wzi424	KL151	ST405	2	1	62	3	10	4	110	6	4	20*	61*	1	126*	131*	2	4	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	QnrB1?	-	-	CatB4?	-	SulII	TetA;TetR	DfrA14	SHV-76*;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486458	156	182648	451483	ST307	0	1	7	13	-	0	-	0	-	-	-	wzi173	"KL102 (KL149,KL155)"	ST307	4	1	2	52	1	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	QnrB1?;GyrA-83R;GyrA-87G	-	-	CatB4?	-	SulII	TetA;TetR	DfrA14	AmpH*;TEM-105*;OXA-1	-	SHV-106*;CTX-M-15	-	-	-
ERR486459	107	265140	759884	ST221	0	2	10	14	-	0	-	0	-	-	-	wzi39	KL39 (KL13)	ST221	2	5	1	6	9	1	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA16*;StrB;StrA*	-	-	QnrB2*	-	MphA	CatA2*	Arr3	SulI;SulI;SulII*	-	DfrA27	AmpH*	OXA-48	SHV-13*	-	TEM-135*	-
ERR486460	133	274043	490691	ST1236	1	1	8	11	ybt 5; ICEKp6	11	-	0	-	-	-	wzi62	KL62	ST1236	2	5	117	2	7	1	10	10	8	10	7	18	4	89	7	8	5	37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	GyrA-83K	-	MphA	CatA1*	-	SulII*;SulI	-	DfrA12	AmpH*;OXA-1	-	CTX-M-15	-	SHV-1?	-
ERR486461	167	343947	1412415	ST874	0	1	7	10	-	0	-	0	-	-	-	wzi222	KL45	ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA5;Aac3-IIa*;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	MphA	CatB4?	-	SulI	-	DfrA17	SHV-121;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486462	206	173908	632737	ST874	0	0	4	7	-	0	-	0	-	-	-	wzi222	KL45	ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA5;StrB;StrA;Aac3-IIa*	-	-	-	-	-	CatB4?	-	SulI	-	DfrA17	AmpH*;SHV-121;TEM-105*;OXA-1	-	-	-	-	-
ERR486463	173	263739	1412423	ST874	0	1	7	12	-	0	-	0	-	-	-	wzi222	KL45	ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;AadA5;Aac3-IIa*;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	MphA	CatB4?	-	SulI	-	DfrA17	SHV-121;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486464	164	169778	349376	ST147	0	1	6	8	-	0	-	0	-	-	-	wzi64	KL64	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*	-	-	ParC-80A;ParC-84N	-	-	CatB4?	-	SulII	-	DfrA14	SHV-67*;AmpH*;OXA-1	-	CTX-M-15	-	-	-
ERR486465	507	150454	530902	ST34	0	1	6	9	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST34	2	3	6	1	9	7	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*?	-	-	Qnr-A1;ParC-80A;ParC-84N	-	-	CmlA5*?	-	SulI?	-	DfrA5	AmpH*;TEM-150*;OXA-9	-	SHV-12?	-	-	-
ERR486466	192	309211	897380	ST36-1LV	0	1	2	3	-	0	-	0	-	-	-	wzi27	KL27	ST36-1LV	2	1	2	1	7	1*	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	AmpH*	-	SHV-13*	-	-	-
ERR486467	183	270196	1412422	ST874	0	1	7	12	-	0	-	0	-	-	-	wzi222	KL45	ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;AadA5;Aac3-IIa*;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	MphA	CatB4?	-	SulI	-	DfrA17	SHV-121;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486468	158	218422	511778	ST211-2LV	0	1	1	1	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST211-2LV	2	4	1	42	26	4	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	SHV-40*	-	-	-
ERR486469	332	197013	537480	ST925	0	1	6	8	-	0	-	0	-	-	-	wzi38	KL38	ST925	16	18	21	27	153	40	85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	GyrA-83N;GyrA-87P	-	-	-	-	SulI	-	DfrA5	AmpH*;LEN-24*;OXA-9	-	SHV-12	-	-	TEM-122*
ERR486470	307	160670	469804	ST253	0	1	4	6	-	0	-	0	-	-	-	wzi186	KL2	ST253	2	1	1	1	9	1	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*;Aph3-Ia*	-	-	-	-	MphA	-	-	-	-	DfrA14*	AmpH*;TEM-150*;OXA-9	-	SHV-12?	-	-	-
ERR486472	150	207663	695607	ST1180	0	1	4	5	-	0	-	0	-	-	-	wzi177	KL125 (KL114)	ST1180	2	1	2	1	1	1	34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	DfrA14	AmpH*	-	CTX-M-15	-	SHV-60	-
ERR486500	132	249780	476035	ST340	0	1	6	7	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	ParC-80I	-	-	CatB4?;CatA1*	-	-	-	DfrA30*	AmpH*;OXA-1	-	CTX-M-15*	-	SHV-11	-
ERR486501	134	205856	565650	ST16	0	1	6	9	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*;AadA2*	-	-	ParC-80A;ParC-84N	-	MphA	-	-	SulI	-	DfrA12;DfrA25	AmpH*;SHV-145*;TEM-105*	-	CTX-M-15	-	-	-
ERR486502	119	294768	602599	ST15	0	1	5	9	-	0	-	0	-	-	-	wzi93	KL112	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	GyrA-83F;GyrA-87A	-	-	-	-	SulII	-	DfrA14	AmpH*;TEM-105*;OXA-1	-	SHV-106*;CTX-M-15	-	-	-
ERR486504	186	172368	872565	ST340	0	1	8	9	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2	-	-	ParC-80I	-	MphA	CatB4?;CatA1*	-	SulI	-	DfrA30*	AmpH*;TEM-105*;OXA-1	-	CTX-M-15*	-	SHV-11	-
ERR486505	193	170320	505674	ST34	0	0	2	3	-	0	-	0	-	-	-	wzi186	KL2	ST34	2	3	6	1	9	7	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	AmpH*	-	-	-	-	SHV-26
ERR486506	234	259698	800131	ST42	0	1	4	5	-	0	-	0	-	-	-	wzi33	KL64	ST42	2	6	1	3	8	1	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	-	-	-	-	-	SulI	-	DfrA5	AmpH*;OXA-9;TEM-150*	-	SHV-12?	-	-	-
ERR486507	244	232654	566590	ST101	1	1	6	10	ybt 10; ICEKp4	20-2LV	-	0	-	-	-	wzi137	KL17	ST101	2	6	1	5	4	1	6	16	12	4	3	3	61*	54*	3	10	9	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*;Aac3-IId*;Aph3-Ia*	-	-	-	-	-	CatB4?	-	SulII	TetD	DfrA14	AmpH*;TEM-105*;TEM-105*;OXA-1	-	SHV-106*;CTX-M-15	-	-	-
ERR486508	332	148303	445007	ST26	0	0	1	2	-	0	-	0	-	-	-	wzi236	KL10	ST26	2	1	1	1	9	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Qnr-S1;GyrA-83K	-	-	-	-	-	-	-	AmpH*;SHV-36;TEM-105*	-	-	-	-	-
ERR486510	411	169516	405223	ST29	1	0	5	5	ybt 9; ICEKp3	69	-	0	-	-	-	wzi115	KL54	ST29	2	3	2	2	6	4	4	28	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?	-	-	-	-	-	CatA1*	-	SulI	TetD	-	AmpH*	-	-	-	SHV-83*	-
ERR486511	198	240188	770385	ST14	1	1	7	15	ybt 14; ICEKp5	140	-	0	-	-	-	wzi2	KL2 (KL30)	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sat-2A;Aac3-IId*;StrB*;StrA*;Aac3-IIe*?;AadA1-pm?	-	-	-	-	ErmB*;MphA	CmlA5;CatB4?	Arr2	SulII*;SulI*	-	DfrA1	AmpH*;OXA-1;OXA-9;TEM-105*?	-	CTX-M-15	-	-	-
ERR486512	107	409445	784863	ST48	0	1	8	15	-	0	-	0	-	-	-	wzi62	KL62	ST48	2	5	2	2	7	1	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA*;Aac3-IIa*	-	-	ParC-80A;ParC-84N	-	-	CatA1*;CatB4?	-	SulI;SulII*	TetA;TetR	DfrA12	AmpH*;OXA-1	-	CTX-M-15	-	SHV-1?	-
